status,original_rtd_canonical_url,mintlify_canonical_url,mintlify_route,note
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/PreviewFeature/Index.html,http://192.168.0.137:3000/EXTReva/PreviewFeature/Index,/EXTReva/PreviewFeature/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/UpdateVersion/Index.html,http://192.168.0.137:3000/EXTReva/UpdateVersion/Index,/EXTReva/UpdateVersion/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTShiva/CustomElements/Index.html,http://192.168.0.137:3000/EXTShiva/CustomElements/Index,/EXTShiva/CustomElements/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTShiva/Customization/Index.html,http://192.168.0.137:3000/EXTShiva/Customization/Index,/EXTShiva/Customization/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTShiva/DemoSite/Index.html,http://192.168.0.137:3000/EXTShiva/DemoSite/Index,/EXTShiva/DemoSite/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTShiva/FAQ/Index.html,http://192.168.0.137:3000/EXTShiva/FAQ/Index,/EXTShiva/FAQ/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTShiva/GlobalSettingsConfiguration/Index.html,http://192.168.0.137:3000/EXTShiva/GlobalSettingsConfiguration/Index,/EXTShiva/GlobalSettingsConfiguration/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTShiva/HelpSupport/Index.html,http://192.168.0.137:3000/EXTShiva/HelpSupport/Index,/EXTShiva/HelpSupport/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTShiva/Index.html,http://192.168.0.137:3000/EXTShiva/Index,/EXTShiva/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTShiva/InstallationT3ShivaReactjs/Index.html,http://192.168.0.137:3000/EXTShiva/InstallationT3ShivaReactjs/Index,/EXTShiva/InstallationT3ShivaReactjs/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTShiva/InstallationT3ShivaTheme/Index.html,http://192.168.0.137:3000/EXTShiva/InstallationT3ShivaTheme/Index,/EXTShiva/InstallationT3ShivaTheme/Index,"Same route structure, RTD prefix removed, .html removed"
